graph_depth,sort_order,node_id,parent_id,node_name,detail,reference_info
3,5100,f_fltr,fact,Filter,A Filter applied to data (usually from category),

3,5200,f_ref,fact,Reference List,A list of information for reference files,

3,5300,f_info,fact,Information,"A piece of information - can be a word, sentence, paragraph",

3,5400,f_cat,fact,Category,a list of categories to allow for filtering / grouping,
4,5410,f_cat_country,f_cat,Country,Database of countries in the world,https://github.com/acutesoftware/rawdata/blob/master/rawdata/data/world/country.csv
4,5420,f_cat_color,f_cat,Colours,List of colours,https://github.com/acutesoftware/rawdata/blob/master/rawdata/data/TODO_colour.csv


3,5500,f_pim,fact,Personal Information,"data in a PIM (Personal Information Mananger) - notes, tasks, events, etc",
4,5510,f_pim_note,f_pim,PIM - Notes,"Notes in a PIM",tbl_notes
4,5520,f_pim_task,f_pim,PIM - Tasks,Tasks in a PIM,tbl_tasks  
4,5530,f_pim_event,f_pim,PIM - Calendar,"Calendar events in a PIM ",tbl_events
4,5540,f_pim_place,f_pim,PIM - Places,"Locations in a PIM",tbl_locations
4,5550,f_pim_data,f_pim,PIM - Data,"Data tables in a PIM",tbl_data  
4,5560,f_pim_badge,f_pim,PIM - Badges,"Badges and Achievements in a PIM",tbl_achievements
4,5570,f_pim_money,f_pim,PIM - Money,"Money in a PIM ",tbl_money
4,5580,f_pim_media,f_pim,PIM - Media,"Music in a PIM",tbl_media
4,5590,f_pim_file,f_pim,PIM - Files,"Files in a PIM ",tbl_files
4,5600,f_pim_app,f_pim,PIM - Apps,"Apps in a PIM",tbl_apps
4,5610,f_pim_cont,f_pim,PIM - Contacts,"Contacts in a PIM",tbl_contacts
4,5620,f_pim_opt,f_pim,PIM - Options,"Settings and Options for a PIM",tbl_options

