id,label,desc,is_fav,is_current
any,All Projects,All Projects,0,1
spacer,PERS,Pers,0,1
health,Health,Health,0,1
family,Family,Family,0,1
house,House,House,0,1
garden,Garden,Garden,0,1
car,Car,Car,0,1
fun,FUN,Fun,0,1
fun/events,Events,Events,0,1
fun/games,Games,Games,0,1
fun/food,Food,Food,0,1
fun/sport,Sport,Sport,0,1
fun/travel,Travel,Travel,0,1
make,MAKE,Make,0,1
make/design,Design,Design,0,1
make/write,Writing,Writing,0,1
make/build,Build,Build,0,1
spacer,WORK,Work,0,1
work/job,Job,Job,0,1
work/business,Business,Business,0,1
work/study,Study,Study,0,1
proj,PROJECTS,Projects,0,1
proj/UE5,UE5,Ue5,0,1
proj/worldbuild/alrona,Alrona,Alrona,0,1
proj/dev,Dev,Dev,0,1
proj/dev/ai,AI,Ai,0,1
proj/dev/lifepim,LifePIM,Lifepim,0,1
proj/elec/rasbpi,RasbPI,Rasbpi,0,1
