table_name,col_name,col_type,display_widget,display_length_max,edit_widget
event,id,id,Label,20,HIDDEN
event,dateevent_str,Date,Label,12,DATEPICKER
event,timeevent,Time,Label,8,TEXTBOX
event,details,Note,Label,200,TEXTAREA
event,event_type,Text,Label,80,TEXTBOX
event,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
note,id,id,Label,20,HIDDEN
note,title,Text,Label,80,TEXTBOX
note,pinned,Checkbox,Label,10,TEXTBOX
note,important,Checkbox,Label,10,TEXTBOX
note,is_archived,Checkbox,Label,10,TEXTBOX
note,color,Color,Label,20,TEXTBOX
note,content,Note,Label,200,TEXTAREA
note,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
task,id,id,Label,20,HIDDEN
task,Title,Text,Label,80,TEXTBOX
task,Pinned,Checkbox,Label,10,TEXTBOX
task,Important,Checkbox,Label,10,TEXTBOX
task,Notes,Note,Label,200,TEXTAREA
task,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
task,Done,Checkbox,Label,10,TEXTBOX
task_project,id,id,Label,20,HIDDEN
task_project,category,Number,Label,80,TEXTBOX
task_project,title,Text,Label,80,TEXTBOX
task_project,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
goal,id,id,Label,20,HIDDEN
goal,goal_area,Text,Label,80,TEXTBOX
goal,goal_name,Text,Label,80,TEXTBOX
goal,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
goal,goal_note,Text,Label,80,TEXTBOX
place,id,id,Label,20,HIDDEN
place,nme,List,DROPDOWNLIST,80,DROPDOWNLIST
place,proj,Text,Label,80,TEXTBOX
money,id,id,Label,20,HIDDEN
money,nme,List,DROPDOWNLIST,80,DROPDOWNLIST
money,proj,Text,Label,80,TEXTBOX
money,amount,Number,Label,80,TEXTBOX
ref_badges,badge_area,Text,Label,80,TEXTBOX
ref_badges,badge_name,Text,Label,80,TEXTBOX
ref_badges,badge_desc,Text,Label,80,TEXTBOX
music,id,id,Label,20,HIDDEN
music,nme,Text,Label,80,TEXTBOX
music,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
images,id,id,Label,20,HIDDEN
images,nme,Text,Label,80,TEXTBOX
images,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
files,id,id,Label,20,HIDDEN
files,nme,Text,Label,80,TEXTBOX
files,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
apps,id,id,Label,20,HIDDEN
apps,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
apps,app_name,Text,Label,80,TEXTBOX
apps,app_desc,Text,Label,80,TEXTBOX
apps,app_launch_url,Text,Label,80,TEXTBOX
apps,app_notes,Note,Label,200,TEXTAREA
data_tables,id,id,Label,20,HIDDEN
data_tables,table_name,Text,Label,80,TEXTBOX
data_tables,color,Color,Label,20,TEXTBOX
data_tables,proj,List,DROPDOWNLIST,80,DROPDOWNLIST
data_tables,table_desc,Text,Label,80,TEXTBOX
data_values,id,id,Label,20,HIDDEN
data_values,table_id,Hidden,Label,80,TEXTBOX
data_values,is_header,Hidden,Label,80,TEXTBOX
data_values,is_hdr_short_name,Hidden,Label,80,TEXTBOX
data_values,is_col_type_def,Hidden,Label,80,TEXTBOX
data_values,is_default_values,Hidden,Label,80,TEXTBOX
data_values,is_row_data,Hidden,Label,80,TEXTBOX
data_values,col1,Text,Label,80,TEXTBOX
data_values,col2,Text,Label,80,TEXTBOX
data_values,col3,Text,Label,80,TEXTBOX
data_values,col4,Text,Label,80,TEXTBOX
data_values,col5,Text,Label,80,TEXTBOX
data_values,col6,Text,Label,80,TEXTBOX
data_values,col7,Text,Label,80,TEXTBOX
data_values,col8,Text,Label,80,TEXTBOX
data_values,col9,Text,Label,80,TEXTBOX
