id,icon,label
any,*,All Areas
spacer,,PERS
health,💊,Health
family,👪,Family
house,🏚️,House
garden,🌴,Garden
car,🚗,Car
fun,,FUN
fun/events,🎉,Events
fun/games,🕹️,Games
fun/food,🍕,Food
fun/sport,🏈,Sport
fun/travel,👣,Travel
make,,MAKE
make/design,📐,Design
make/write,🖋️,Writing
make/build,🛠️,Build
spacer,,WORK
work/job,💼,Job
work/business,💼,Business
work/study,👩🏻‍🎓,Study
area,,AREAS
area/UE5,🗡️,UE5
area/worldbuild/alrona,🖋️,Alrona
area/dev,🖥️,Dev
area/dev/ai,🕵,AI
area/dev/lifepim,👩🏻‍🎓,LifePIM
area/elec/rasbpi,📻,RasbPI
