id,icon,label,desc
home,🏠,Overview,"Overview Dashboard"
calendar,🕐,Cal,"Calendar, Appointments, Events, Reminders (WHEN)"
goals,🏆,Goals,"Goals and Achievements (WHY)"
tasks,📝,Tasks,"Tasks (actual list of things to do)"
how,📘,How,"Blueprints, Task Templates, Processes, Jobs (HOW)"
notes,📔,Notes,"Notes"
data,📅,Data,"Data"
files,📂,Files,"Files"
media,🖼️,Media,"Images / Videos / 2D things"
audio,🎵,Audio,"Music / Podcasts / Sound Effects"
3d,🧱,3D,"Objects / 3D / Things"
money,💲,Money,"Money"
contacts,👤,People,"Contacts (WHO)"
places,🌏,Places,"Places (WHERE - real life, URL or virt location)"
apps,🎮,Apps,"Apps"
agent,🤖,Agent,"Agent"
